head,decisions,mean,median,mean_correct,mean_incorrect,confidence_ge_0_9_count,confidence_ge_0_9_coverage,confidence_ge_0_9_risk
preserve,15000,0.8555407930143915,0.9021349400281906,0.8706328155802492,0.704054200063056,7643,0.5095333333333333,0.019102446683239564
edit,15000,0.7142521863569816,0.6943551599979401,0.7478243788752795,0.6271768255033416,2146,0.14306666666666668,0.026561043802423114
violation,15000,0.729427800260981,0.7130813598632812,0.7636613981001804,0.6440750060210019,2714,0.18093333333333333,0.02431834929992631
micro,45000,0.766406926544118,0.7774499952793121,0.8002731609784348,0.6451922054941308,12503,0.27784444444444445,0.02151483643925458
