head,n,precision,recall,f1,auroc,accuracy,tn,fp,fn,tp
preserve,135000,0.9200293925876861,0.9877333333333334,0.9526800019290227,0.9733291586419753,0.9345851851851852,37273,7727,1104,88896
edit,135000,0.8512340537459997,0.863,0.8570766480545563,0.8914260745679012,0.8081185185185186,31426,13574,12330,77670
violation,135000,0.8341742418656583,0.8799333333333333,0.8564430049151873,0.8844545255555556,0.8033407407407407,29257,15743,10806,79194
micro,405000,0.8690117537234269,0.9102222222222223,0.8891397312609894,0.9249619301508917,0.8486814814814815,97956,37044,24240,245760
